foods
پیتزا
ساندویچ
هات داگ
همبرگر
چیزبرگر
سیب زمینی ویژه
سیب زمینی
پیتزا پنجره ای
نوشابه
دوغ
دلستر
آب معدنی
ماست موسیر
ماست خیار
پیتزا پپرونی
پیتزا رست بیف
پیتزا یونانی
چیپس و پنیر
ساندویچ کوکتل
ساندویچ بلغاری
دوبل برگر
برگر
بلغاری
کوکتل
ساندویچ هات داگ
ژامبون تنوری
ساندویچ ژامبون تنوری
لیموناد
موهیتو
پاستا
پنه
پنه آلفردو
مرغ سوخاری
سوخاری سه تیکه
پیتزا سیر و استیک
پیتزا مخصوص
پیتزا مخلوط
پیتزا سبزیجات

تخفیف‌دارها
چلوکباب تابه ای با پلو ته دیگی
چلو ساده
چلو خورشت قیمه بادمجان
خورشت قیمه سیب زمینی (بدون برنج)
چلو خورشت قیمه سیب زمینی
خورشت قورمه سبزی (بدون برنج)
چلو خورشت قورمه سبزی
خوراک جوجه کباب
خوراک کباب لقمه
خوراک کباب گمجی
خوراک کباب قفقازی
خوراک کاسه کباب
چلو جوجه کباب با پلو ته دیگی
چلو قیمه نثار
چلو کباب لقمه با پلو ته دیگی
چلو کباب گمجی با پلو ته دیگی
چلوکباب قفقازی با پلو ته دیگی
کاسه کباب لاپلو ته دیگی
سینی مخصوص
خوراک چنجه
چنجه با پلو ته دیگی
خوراک وزیری
چلو کباب وزیری
زرشک پلو با مرغ سس پز
باقالی پلو
خورشت قیمه بادمجان (بدون برنج)

منوی ویژه ماه مبارک رمضان
شله زرد
سینی افطار مخصوص 
اش رشته
حلیم

ابمیوه طبیعی
اب زرشک
اب پرتقال 
اب انار طبیعی

صبحانه
نیمرو
املت

غذای ایرانی
چلوکباب تابه ای با پلو ته دیگی
چلو قیمه نثار
باقالی پلو
زرشک پلو با مرغ سس پز

چلو کباب
چلو کباب وزیری
خوراک وزیری
چنجه با پلو ته دیگی
خوراک چنجه
سینی مخصوص
کاسه کباب لاپلو ته دیگی
چلوکباب قفقازی با پلو ته دیگی
چلو کباب گمجی با پلو ته دیگی
چلو کباب لقمه با پلو ته دیگی
چلو جوجه کباب با پلو ته دیگی
چلو ساده

خوراک
خوراک کاسه کباب
خوراک کباب قفقازی
خوراک کباب گمجی
خوراک کباب لقمه
