comments
مالیاتتون خیلی زیاده

rozita farahbakhsh عزیز، از همراهی شما سپاس‌گزاریم. براساس مصوبه‌ی سازمان امور مالیاتی کشور، رستوران‌ها می‌توانند برای غذا و خدمات ارائه‌شده از مشتری مالیات بگیرند.

سیب زمینی بسیار خمیر و مونده بود و ما اصلا نخوردیمش، غذا هم به نسبت سرد بود.

انتظار از برگر لند نبود ، مرغ سوخاری بسیار بی کیفیت بود .

پیتزا بسیار بی کیفیت و بد مزه.سیب زمینی سرخ کرده هم سوخته و بیات.

معمولی بود

متاسفانه چیزی بعنوان سس سیب زمینی وجود نداشت متاسفانه و کاملا مونده بود و بو میداد
مهرداد زماني عزیز، از همراهی شما سپاس‌گزاریم و خوشحالیم که نظرتان را با ما در میان گذاشتید. مورد ذکرشده بررسی می‌شود.

کیفیت و طعم لازانیا خوب بود اما برگر خیلی زیاد سس داشت و در مجموع مثل قبل نبود

مثل همیشه نبود 
گوشت بیف سوخته بود 
دوتا پیتزا انقدر تو فر بودند سیاه شدند
اميرحسين زنده دل عزیز، از همراهی شما سپاس‌گزاریم و خوشحالیم که نظرتان را با ما در میان گذاشتید. مورد ذکرشده بررسی می‌شود.
بابت بروز چنین مشکلی صمیمانه عذرخواهی می کنیم. تمام تلاش خود را جهت ارائه خدماتی مطلوب و شایسته شما انجام خواهیم داد. با سپاس از همراهی شما

نان سیری که اصلا داخلش سیر نداشت!!! یادشون رفته بوده سیر بزنن!!!
ضمن عرض پوزش ازشما، مجموعه برگرلند همواره جهت ارائه خدماتی مطلوب و شایسته شما تلاش خواهد نمود. با سپاس از همراهی شما
نوشین قلی زاده عزیز، از همراهی شما سپاس‌گزاریم و خوشحالیم که نظرتان را با ما در میان گذاشتید. مورد ذکرشده بررسی می‌شود.

سوخاری خوشمزه بود اما برگر خیلی معمولی بود و نونش از سس خیس بود

بهتر از این نمیشه ، پرپروک همیشه بی نقص

همیشه عالی بود کیفیت اما این سری یکم از کیفیت افتاده بود... ما هات داگ با قارچ و پنیر خواستیم اما ساده آوردن و برخلاف سری قبل آنقدر نپخته و بد بود خدا میمونه... اما همبرگر و قارچ خوب بودند... لطفا وقتی قیمت ها بالاست از کیفیت مواد و پخت و پز کم نکنید...

نسبت به قیمتش، کیفیتش رو نمیخوام بگم پایینه ولی تاپ هم نیست

سلام. انتظارم از پرپروک بیشتر از این بود. این چندمین بار بود سفارش میدادم این پیتزا دومین بار بود سفارش دادم و قارچ ها نیم پخته بود. مرغ آب انداخته بود و بدمزه بود. کیفیت مرغ سوخاری پایین بود. 
زهرا ملکی عزیز، از همراهی شما سپاس‌گزاریم و خوشحالیم که نظرتان را با ما در میان گذاشتید. مورد ذکرشده بررسی می‌شود.

طعم پیتزا اصلا خاص نبود. یه چیز خیلی خیلی معمولی بود. یک نفر رو هم سیر نمیکنه چون کوچیکه.

کیفیت فوق العاده عالی بود ولیکن کمی سرد بود و اندازه ی پیتزا کوچیک و به این قیمت نمی ارزید و برای یک نفر خوبه

همچنان در اوج

سرد بود و شور

پنیرش کم بود با مقایسه قیمت نسبت به جای دیگه

متاسفانه اصلا کیفیت قبل را ندارد و فقط پر از پنیر است

رول مرغ و پنیر بشدت شووووور بود.
از تعداد قارچ سوخاری در پیکج کم شده بود.
و همچنین اصلا هیچ توجهی به توضیحات نوشته شده‌ام نکرده بودین.
دوست عزیز مورد ذکر شده بررسی می شود عذر خواهی مارا پذیرا باشید

متاسفانه کیفیت بالایی نداشت و نسبت به قیمتش نمیارزید . اصلا انتظار اینکه ژامبون باشه نداشتم! کیفیت غذاهاتون معمولا بالاس ولی این یکی رو من خوشم نیومد.
محمد رضا عزیز در سفارش شما ژامبون وجود ندارد .از اینکه مارا انتخاب میکنید از شما سپاسگزاریم در کنارتان هستیم

سیب زمینی سرخ کرده بیش از حد زیاد بوده ولی بر عکس قارچ سوخاری کم بود
افسانه عزیز از خرید شما سپاسگزاریم

تقریبا پونزده شونزده بار سفارش دادم ازشون فقط یه بار خیلی راضی نبودم. عالی هستند.
سجاد عزیز از کامنت دلگرم کننده شما بسیار سپاسگزاریم درکنارتان خواهیم بود

همه چیز فوق العاده بود مرسی از مدیریت
امیرلو عزیز نوش جان از خرید شما سپاسگزاریم

عالی
معصومه عزیز نوش جان از اینکه مارا انتخاب میکنید از شما سپاسگزاریم

اشتباه ارسال شده بود
شقایق عزیز حتما رسیدگی می شود عذر خواهی مارا پذیرا باشید
شقايق نادرى عزیز، از همراهی شما سپاس‌گزاریم و خوشحالیم که نظرتان را با ما در میان گذاشتید. مورد ذکرشده بررسی می‌شود.

دیگه  یواش یواش کیفیت پاستاهاتون داره افت میکنه این بیشتر شبیه آش بود تا پاستا سُس به این ابیکی اخه ؟؟؟
موحد عزیز مورد ذکر شده بررسی می شود عذر خواهی مارا پذیرا باشید

چنگال درخواست كرده بوديم نگذاشته بودن ، غذا كاملا سرد بود ، سيب زميني خيلي بيات بود و بوي روغن سوخته ميداد
علیرضا عزیز سرد شدن غذا باعث افت کیفیت شده و از این بابت بسیار شرمنده ایم 
تمام تلاشمان را برای رفع این مشکل خواهیم کرد عذر خواهی مارا پذیرا باشید
عليرضا كمالي عزیز، از همراهی شما سپاس‌گزاریم و خوشحالیم که نظرتان را با ما در میان گذاشتید. مورد ذکرشده بررسی می‌شود.

امیدوارم همینجوری فوق العاده بمونه فعلا که از اولین سفارشم که ۸ ماه پیش بود میگزره و همون کیفیته
دوست عزیز رضایت شما مشتریان گرامی بزرگترین دستاورد ماست درکنارتان خواهیم بود

